width,height,mean,std,label
19,19,0.3125,0.463808296,0
19,19,0.331632653,0.471100326,0
13,19,0.191326531,0.393596607,0
17,19,0.233418367,0.423276218,0
19,19,0.31377551,0.464322553,0
19,19,0.267857143,0.443125437,0
19,15,0.238520408,0.426450921,0
11,19,0.149234694,0.356547122,0
19,17,0.244897959,0.430301198,0
15,19,0.275510204,0.447056209,0
19,19,0.364795918,0.481680179,0
13,19,0.183673469,0.387464859,0
19,19,0.261479592,0.439721094,0
19,19,0.220663265,0.414958576,0
19,17,0.317602041,0.465840939,0
15,19,0.215561224,0.41147362,0
19,17,0.244897959,0.430301198,0
15,19,0.197704082,0.398521962,0
17,19,0.228316327,0.420015474,0
19,16,0.214285714,0.410587841,0
19,19,0.270408163,0.444454218,0
14,19,0.210459184,0.407895002,0
19,16,0.210459184,0.407895002,0
15,19,0.229591837,0.420838835,0
16,19,0.232142857,0.422469176,0
10,19,0.178571429,0.383237536,0
19,19,0.293367347,0.455595985,0
19,18,0.230867347,0.421656725,0
19,19,0.323979592,0.468291075,0
11,19,0.200255102,0.400446668,0
16,19,0.235969388,0.424874203,0
19,17,0.257653061,0.437621111,0
15,19,0.204081633,0.403286212,0
19,19,0.280612245,0.449585173,0
15,19,0.221938776,0.415815457,0
17,19,0.223214286,0.416666667,0
17,19,0.210459184,0.407895002,0
19,19,0.237244898,0.425665205,0
19,19,0.326530612,0.469243247,0
19,19,0.31122449,0.463289952,0
15,19,0.232142857,0.422469176,0
17,19,0.228316327,0.420015474,0
19,19,0.338010204,0.473334002,0
19,19,0.258928571,0.43832594,0
19,19,0.289540816,0.453838791,0
15,19,0.232142857,0.422469176,0
17,19,0.253826531,0.435477337,0
19,17,0.257653061,0.437621111,0
19,18,0.320153061,0.466833005,0
18,19,0.221938776,0.415815457,0
19,19,0.285714286,0.452042336,0
13,19,0.25,0.433289122,0
19,17,0.225765306,0.418352209,0
16,19,0.244897959,0.430301198,0
19,19,0.267857143,0.443125437,0
17,19,0.19005102,0.392591674,0
15,19,0.205357143,0.404220234,0
19,17,0.362244898,0.480955903,0
15,19,0.209183673,0.406985425,0
19,17,0.220663265,0.414958576,0
13,19,0.221938776,0.415815457,0
19,19,0.322704082,0.467809039,0
19,13,0.155612245,0.362718743,0
19,19,0.288265306,0.453244358,0
19,17,0.298469388,0.457878616,0
13,19,0.163265306,0.369843502,0
19,19,0.297193878,0.457314369,0
19,19,0.317602041,0.465840939,0
18,19,0.264030612,0.441097064,0
19,15,0.233418367,0.423276218,0
19,19,0.343112245,0.475051662,0
16,19,0.220663265,0.414958576,0
13,19,0.169642857,0.375558333,0
17,19,0.197704082,0.398521962,0
19,19,0.255102041,0.436196834,0
19,17,0.219387755,0.414095987,0
15,19,0.269132653,0.443792161,0
11,19,0.170918367,0.376677921,0
13,19,0.170918367,0.376677921,0
19,15,0.18622449,0.389536228,0
19,15,0.195153061,0.396571484,0
15,19,0.18494898,0.388504021,0
15,19,0.207908163,0.406069798,0
18,19,0.258928571,0.43832594,0
15,19,0.214285714,0.410587841,0
19,19,0.271683673,0.445111632,0
19,19,0.306122449,0.461175427,0
19,19,0.279336735,0.44895971,0
16,19,0.227040816,0.419186609,0
17,19,0.256377551,0.436911417,0
16,19,0.239795918,0.427231378,0
19,19,0.253826531,0.435477337,0
17,19,0.275510204,0.447056209,0
17,19,0.24872449,0.432549725,0
15,19,0.216836735,0.412353546,0
15,19,0.215561224,0.41147362,0
19,17,0.201530612,0.401399473,0
14,19,0.182397959,0.386418688,0
19,19,0.25255102,0.434752903,0
19,19,0.243622449,0.429541489,0
19,17,0.197704082,0.398521962,0
19,19,0.316326531,0.465338861,0
13,19,0.1875,0.390561537,0
19,17,0.207908163,0.406069798,0
19,19,0.358418367,0.47984198,0
15,19,0.228316327,0.420015474,0
19,18,0.221938776,0.415815457,0
13,19,0.183673469,0.387464859,0
19,13,0.196428571,0.397549968,0
19,19,0.193877551,0.395586462,0
17,19,0.229591837,0.420838835,0
19,17,0.235969388,0.424874203,0
17,19,0.25255102,0.434752903,0
17,19,0.238520408,0.426450921,0
13,19,0.202806122,0.402345973,0
15,19,0.25,0.433289122,0
19,15,0.204081633,0.403286212,0
19,17,0.225765306,0.418352209,0
15,19,0.201530612,0.401399473,0
19,19,0.359693878,0.480216967,0
13,19,0.191326531,0.393596607,0
15,19,0.201530612,0.401399473,0
9,19,0.161989796,0.36867665,0
19,19,0.386479592,0.487253469,0
13,19,0.18494898,0.388504021,0
19,19,0.266581633,0.442454028,0
13,19,0.198979592,0.399487513,0
19,19,0.426020408,0.494812404,0
19,18,0.330357143,0.470641935,0
19,19,0.267857143,0.443125437,0
19,19,0.204081633,0.403286212,0
15,19,0.256377551,0.436911417,0
19,17,0.257653061,0.437621111,0
19,14,0.272959184,0.445764421,0
13,19,0.209183673,0.406985425,0
17,19,0.224489796,0.417512239,0
16,19,0.269132653,0.443792161,0
19,19,0.24872449,0.432549725,0
14,19,0.230867347,0.421656725,0
18,19,0.279336735,0.44895971,0
17,19,0.221938776,0.415815457,0
15,19,0.207908163,0.406069798,0
19,19,0.206632653,0.405148082,0
19,19,0.285714286,0.452042336,0
19,19,0.267857143,0.443125437,0
19,17,0.280612245,0.449585173,0
11,19,0.163265306,0.369843502,0
17,19,0.271683673,0.445111632,0
18,19,0.256377551,0.436911417,0
17,19,0.195153061,0.396571484,0
